DBMSNR	HZBNR	X_LB	Y_LB	q95s	q95w	q95	A	H0	Hx	Hr	Hm	Sm	Ssl	Smo	Sst	P	Ps	Pw	Gb	Gq	Gt	Gf	Gl	Gc	Ggs	Ggd	Gso	Lu	La	Lc	Lg	Lf	Lr	Lwa	D
1	1001003	210039	632579	399019	1.11	1.76	1.21	117.5	336	850	514	588.5	8.3	60.5	39.5	0	737.1	487.4	249.6	0	5.8	20.4	0	0	65.9	0	7.9	0	0.5	43.9	0	8.4	47.2	0	0	881
2	1001005	210054	641191	397501	1.09	1.55	1.23	107.6	237	705	468	360.4	4.8	91.5	8.6	0	669	440.5	228.4	0	7.8	58.5	0	0	14.9	0	18.9	0	3.4	38.2	0	2.4	56.1	0	0	720
3	1001006	210062	639309	404781	0.92	1.25	0.98	149.6	256	781	525	470.1	7.4	64.6	35.4	0	701.2	456.8	244.3	0	10.7	33.6	0	0	47.2	0	8.5	0	4.3	38.3	0	9.3	48.1	0	0	839
4	1001008	210088	637884	437789	0.67	0.91	0.71	222.6	175	720	545	321.219	5.9	75.9	24.1	0	630.441	403.484	226.722	0	20.5	63.1	0	1.2	13.4	1.5	0.2	0	7.8	56.4	1.8	2.6	31.2	0.2	0	627
5	1001019	210211	613036	350694	2.33	2.88	2.76	139	237	452	215	310.1	3.9	92.3	7.7	0	683	457.9	225.2	0	5.7	46.3	0	0	0	48	0	0	0	58.8	0	0.4	40.8	0	0	915
6	1001021	210237	631684	371673	1.26	2	1.44	244.1	241	776	535	378.307	5	86.4	13.6	0	680.122	459.959	220.211	0	7.2	55.2	1.8	2.9	8	14.4	10.6	0	0.7	54	0	5.9	39.4	0	0	858
7	1001022	210245	623122	383547	1.63	2.19	1.83	90.4	328	834	506	549.5	10.4	40.4	59.6	0	731.9	490.7	241.1	0	14.2	15.4	31.5	17.3	21.3	0.3	0	0	0.3	34.7	0	1.7	63.3	0	0	952
8	1001023	210252	630727	374437	0.72	1.21	1.06	85.1	264	827	563	377.4	5.6	80.9	19.1	0	680.7	455.5	225.1	0	0.1	42	16.4	15.5	0	26	0	0	0.5	54.9	0	0	44.6	0	0	900
9	1001026	210286	627048	355737	0.57	0.91	0.65	315.7	220	446	226	311.818	4.6	92.6	7.4	0	663.173	443.962	219.108	0	10.7	71.2	0	0.1	1.3	16.8	0	0	0.2	52.2	0	0.5	46.9	0	0.3	753
10	1001027	210294	634613	352828	0.46	0.71	0.63	84.1	201	334	133	263.7	3.8	94.1	5.9	0	630.1	415.8	214.3	0	5.6	75.8	0.1	0	0.4	18.2	0	0	0.4	35.4	0	0	64.1	0	0.1	815
11	1001028	210310	638838	394959	1.45	2.28	1.72	151.6	299	880	581	532	10	46.1	53.9	0	716.8	474.9	242	0	6.2	22.8	35.4	8.5	7	20.2	0	0	2	27.2	0	2.9	67.9	0	0	866
12	3001038	207985	568155	528064	4.32	3.21	4.08	434.8	309	743	434	553.8	6.2	81.3	18.5	0.2	584	386.1	198	93.7	0	6.2	0	0	0	0	0.1	0	0	47.1	0	8.5	43.4	0	1	862
