,NUTS_ID_x,YYYY,KEY,HIT,SPE12_12,SPI12_12
1,AT1,1970,AT11970,0.0,-0.4938040673732758,-0.735210120677948
2,AT1,1971,AT11971,0.0,-2.012258052825928,-2.234614610671997
3,AT1,1972,AT11972,0.0,-0.4316716492176056,-0.7968913912773132
4,AT1,1973,AT11973,0.0,-1.6672884225845337,-1.7648574113845823
5,AT1,1974,AT11974,0.0,-0.6028497219085693,-0.7265670895576477
6,AT1,1975,AT11975,0.0,-0.6892147064208984,-0.9101402759552002
7,AT1,1976,AT11976,0.0,-1.3254519701004028,-1.1439013481140137
8,AT1,1977,AT11977,0.0,-1.4533828496932983,-1.6376301050186155
9,AT1,1978,AT11978,0.0,-2.0849342346191406,-2.589547872543335
10,AT1,1979,AT11979,0.0,-0.6888605952262878,-0.6991263031959534
11,AT1,1980,AT11980,0.0,-1.33764386177063,-1.750784397125244
12,AT1,1981,AT11981,0.0,-1.3381422758102417,-1.5214442014694214
13,AT1,1982,AT11982,0.0,-1.359593629837036,-1.4175543785095217
14,AT1,1983,AT11983,0.0,-1.9809939861297607,-1.6923799514770508
15,AT1,1984,AT11984,0.0,-1.2681691646575928,-1.7971522808074951
16,AT1,1985,AT11985,0.0,-0.024754837155342102,-0.09661736339330672
17,AT1,1986,AT11986,0.0,-1.4008721113204956,-1.4883110523223877
18,AT1,1987,AT11987,0.0,-0.01903638057410717,-0.07966213673353195
19,AT1,1988,AT11988,0.0,-0.5405479669570923,-0.6543813943862915
20,AT1,1989,AT11989,0.0,-1.1485737562179563,-1.537829041481018
21,AT1,1990,AT11990,0.0,-1.1410160064697266,-0.992134928703308
22,AT1,1991,AT11991,0.0,-0.6763726472854614,-0.9034897089004515
23,AT1,1992,AT11992,0.0,-1.438302755355835,-1.1014008522033691
24,AT1,1993,AT11993,0.0,-0.9296279549598694,-0.8726290464401245
25,AT1,1994,AT11994,0.0,-1.928454160690308,-1.50919508934021
26,AT1,1995,AT11995,0.0,0.348445326089859,0.5172086954116821
27,AT1,1996,AT11996,0.0,0.5109071731567383,-0.010905029252171516
28,AT1,1997,AT11997,0.0,-0.4442446529865265,-0.19422434270381927
29,AT1,1998,AT11998,0.0,-0.17143240571022034,-0.3954285383224487
30,AT1,1999,AT11999,0.0,-0.6889140009880066,-0.7923702597618103
31,AT1,2000,AT12000,0.0,-2.365499973297119,-2.5398213863372803
32,AT1,2001,AT12001,0.0,-2.8763935565948486,-4.124146461486816
33,AT1,2002,AT12002,0.0,-0.9430941939353944,-0.8458496332168579
34,AT1,2003,AT12003,1.0,-2.9473934173583984,-2.716545820236206
35,AT1,2004,AT12004,1.0,-0.2942315936088562,-0.25772643089294434
36,AT1,2005,AT12005,0.0,-0.5386365652084351,-0.43755751848220825
37,AT1,2006,AT12006,0.0,-0.5171912908554077,-0.6699544787406921
38,AT1,2007,AT12007,0.0,-0.3152121305465698,0.3465596139431
39,AT1,2008,AT12008,0.0,-0.7575176954269409,-0.9695155024528505
40,AT1,2009,AT12009,0.0,0.3667329549789429,0.6309055089950562
41,AT1,2010,AT12010,0.0,0.24385620653629306,-0.021475061774253845
42,AT1,2011,AT12011,0.0,-1.3856016397476196,-1.5200814008712769
43,AT1,2012,AT12012,0.0,-0.9268183708190918,-0.4646784365177154
44,AT2,1970,AT21970,0.0,-0.784744381904602,-0.825346827507019
45,AT2,1971,AT21971,0.0,-2.8333256244659424,-3.1595330238342285
46,AT2,1972,AT21972,0.0,-1.753408670425415,-2.204543352127075
47,AT2,1973,AT21973,0.0,-0.8049912452697754,-0.8245812654495239
48,AT2,1974,AT21974,0.0,-1.5600700378417969,-1.5920305252075195
49,AT2,1975,AT21975,0.0,-0.9880353212356568,-1.0435913801193235
50,AT2,1976,AT21976,0.0,-1.3281956911087036,-1.2929590940475464
51,AT2,1977,AT21977,0.0,-1.479795217514038,-1.6942408084869385
52,AT2,1978,AT21978,0.0,-1.879453182220459,-2.0672411918640137
53,AT2,1979,AT21979,0.0,-1.4453648328781128,-1.5708676576614382
54,AT2,1980,AT21980,0.0,-1.8466888666152956,-2.2481529712677
55,AT2,1981,AT21981,0.0,-1.5432366132736206,-1.448676347732544
56,AT2,1982,AT21982,0.0,-1.3629579544067385,-1.3676794767379759
57,AT2,1983,AT21983,0.0,-2.2488017082214355,-2.02662992477417
58,AT2,1984,AT21984,0.0,-1.2153335809707642,-1.4102110862731934
59,AT2,1985,AT21985,0.0,-0.29925912618637085,-0.2473408728837967
60,AT2,1986,AT21986,0.0,-1.534758687019348,-1.3600425720214844
61,AT2,1987,AT21987,0.0,-0.05514295771718025,-0.1821817010641098
62,AT2,1988,AT21988,0.0,-1.045964598655701,-1.1850879192352295
63,AT2,1989,AT21989,0.0,-0.660849928855896,-0.6241052150726318
64,AT2,1990,AT21990,0.0,-0.7081546187400818,-0.6676808595657349
